Animal	Sex	Farrowing Group	Line	Sire	Sire Line	Week 8 Weigh Date	Week 8 Weight	Weight Date	Weight	Week 22 Weigh Date	Week 22 Weight	Weight Date_2	Weight_2	Disposal Date	Disposal Code	Disposal Reason
200900103	2	200901	123	200720606	123	03/02/09	54.8	04/17/09	118.8	06/11/09	212.2	07/06/09	251.8	07/06/09	4	SLRE
200900106	1	200901	123	200720606	123	03/02/09	57.6	04/17/09	132	06/11/09	237.6	06/23/09	255.6	06/24/09	6	SLRE
200900202	2	200901	123	200727611	123	03/02/09	49	04/17/09	105.7	06/11/09	201.5	07/06/09	256.8	07/06/09	4	SLRE
200900206	1	200901	123	200727611	123	03/02/09	57.6	04/17/09	128.9	06/11/09	222.4	07/06/09	263.4	07/06/09	4	SLRE
200900303	2	200901	123	200727611	123	03/02/09	61.3	04/17/09	145.6	06/11/09	272.4	06/23/09	303.6	06/24/09	6	SLRE
200900307	1	200901	123	200727611	123	03/02/09	57.1	04/17/09	142	06/11/09	264.5	06/23/09	294	06/24/09	6	SLRE
200900502	2	200901	123	200721705	123	03/02/09	51.2	04/17/09	118.8	06/11/09	221.3	06/23/09	244	06/24/09	6	SLRE
200900505	2	200901	123	200721705	123	03/02/09	48.1	04/17/09	111.7	06/11/09	209	07/07/09	257.8	07/08/09	6	SLRE
200900508	1	200901	123	200721705	123	03/02/09	50	04/17/09	124.6	06/11/09	233.4	06/23/09	252.8	06/24/09	6	SLRE
200900602	2	200901	123	200720912	123	03/02/09	51.1	04/17/09	112.1	06/11/09	211.4	07/06/09	256	07/06/09	4	SLRE
200900603	2	200901	123	200720912	123	03/02/09	53.1	04/17/09	118.8	06/11/09	208.2	07/06/09	249.8	07/06/09	4	SLRE
200900611	1	200901	123	200720912	123	03/02/09	47.4	04/17/09	118.6	06/11/09	217.1	07/06/09	253.4	07/06/09	4	SLRE
200900701	2	200901	123	200721705	123	03/02/09	40.4	03/02/09	40.4	06/11/09	175.6	07/07/09	224.6	07/08/09	6	SLRE
200900702	2	200901	123	200721705	123	03/02/09	55.4	04/17/09	123.4	06/11/09	227.2	07/06/09	276	07/06/09	4	SLRE
200900706	1	200901	123	200721705	123	03/02/09	47.3	04/17/09	125.3	06/23/09	262.4	06/23/09	262.4	06/24/09	6	SLRE
200900707	1	200901	123	200721705	123	03/02/09	42.3	04/17/09	99.6	06/11/09	203.7	07/06/09	246.6	07/06/09	4	SLRE
200900801	2	200901	123	200720308	123	03/02/09	53.2	03/02/09	53.2			03/02/09	53.2	03/26/09	3	ARTH
200900802	2	200901	123	200720308	123	03/02/09	50.6	04/17/09	128.6	06/11/09	220.8	07/06/09	262.2	07/06/09	4	SLRE
200900805	1	200901	123	200720308	123	03/02/09	50.1	04/17/09	131.2	06/23/09	254	06/23/09	254	06/24/09	6	SLRE
200900808	1	200901	123	200720308	123	03/02/09	55.3	04/17/09	134.9	06/23/09	281.6	06/23/09	281.6	06/24/09	6	SLRE
200900902	2	200901	123	200720912	123	03/02/09	38	04/23/09	104.6	06/17/09	167	07/17/09	205.4	07/20/09	6	SLRE
200900907	1	200901	123	200720912	123	03/02/09	48.4	04/17/09	118.2	06/11/09	222.5	07/06/09	260.6	07/06/09	4	SLRE
200901002	2	200901	123	200727611	123	03/02/09	49.3	04/17/09	104.4	06/11/09	211	07/06/09	257.4	07/06/09	4	SLRE
200901008	1	200901	123	200727611	123	03/02/09	50.1	04/17/09	72.1			04/17/09	72.1	04/22/09	3	UNK
200901102	2	200901	123	200720606	123	03/02/09	44.4	04/17/09	100	06/11/09	194.4	07/06/09	234.6	07/06/09	4	SLRE
200901110	1	200901	123	200720606	123	03/09/09	42.4	04/23/09	111.1	06/17/09	217.4	07/06/09	239.6	07/06/09	4	SLRE
200901205	2	200901	123	200718805	123	03/02/09	53.6	04/17/09	132.9	06/23/09	258.2	06/23/09	258.2	06/24/09	6	SLRE
200901212	1	200901	123	200718805	123	03/02/09	45.7	04/17/09	124.5	06/11/09	227.4	07/06/09	247.8	07/06/09	4	SLRE
200901302	2	200901	123	200718805	123	03/02/09	38.8	04/23/09	109	06/17/09	202.7	07/10/09	208.8	07/13/09	6	SLRE
200901304	2	200901	123	200718805	123	03/02/09	47.8	04/17/09	111.9	06/11/09	219.2	07/06/09	264	07/06/09	4	SLRE
200901306	1	200901	123	200718805	123	03/02/09	51.5	04/17/09	131.8	06/11/09	222.2	07/06/09	272.2	07/06/09	4	SLRE
200901308	1	200901	123	200718805	123	03/02/09	47.9	04/17/09	97	06/11/09	213	07/06/09	258	07/06/09	4	SLRE
200901403	2	200901	123	200720606	123	03/02/09	41.5	04/17/09	115.5	06/11/09	219.4	07/06/09	259.4	07/06/09	4	SLRE
200901408	2	200901	123	200720606	123	03/02/09	40.1	04/17/09	100.1	06/11/09	194.3	07/06/09	235.2	07/06/09	4	SLRE
200901410	1	200901	123	200720606	123	03/02/09	42.2	04/17/09	111	06/11/09	209.4	07/06/09	240.2	07/06/09	4	SLRE
200901502	2	200901	123	200720606	123	03/02/09	47.9	04/17/09	115.6	06/11/09	209.4	07/06/09	247.2	07/06/09	4	SLRE
200901507	1	200901	123	200720606	123	03/02/09	48.2	04/17/09	113.8	06/11/09	204.9	07/06/09	238.8	07/06/09	4	SLRE
200901603	2	200901	123	200720912	123	03/02/09	40.2	04/17/09	101.2	06/11/09	201.7	07/06/09	238	07/06/09	4	SLRE
200901610	1	200901	123	200720912	123	03/02/09	53.2	04/17/09	103.3			04/17/09	103.3	06/05/09	7	WEAK
200901702	2	200901	123	200720606	123	03/02/09	46.1	04/17/09	117.7	06/11/09	225.9	07/06/09	271	07/06/09	4	SLRE
200901705	1	200901	123	200720606	123	03/04/09	51.9	04/17/09	117.7	06/23/09	249.6	06/23/09	249.6	06/24/09	6	SLRE
200901901	2	200901	123	200719208	123	03/02/09	41.5	04/17/09	104.9	06/11/09	204.4	07/06/09	248	07/06/09	4	SLRE
200901902	2	200901	123	200719208	123	03/02/09	42	04/17/09	109.9	06/11/09	211.3	07/06/09	254.4	07/06/09	4	SLRE
200901908	1	200901	123	200719208	123	03/02/09	46.4	04/17/09	118	06/11/09	227.6	07/06/09	267.6	07/06/09	4	SLRE
200902001	2	200901	123	200718912	123	03/02/09	43.9	04/17/09	107.1	06/11/09	197.8	07/06/09	232.8	07/06/09	4	SLRE
200902005	1	200901	123	200718912	123	03/02/09	43.6	04/17/09	102.5	06/11/09	187.6	07/10/09	233.4	07/13/09	6	SLRE
200902101	2	200901	123	200720912	123	03/02/09	47.4	04/17/09	101.6	06/11/09	182.7	07/06/09	229	07/06/09	4	SLRE
200902103	2	200901	123	200720912	123	03/02/09	39	04/17/09	106.2	06/11/09	218.4	07/06/09	259.6	07/06/09	4	SLRE
200902107	1	200901	123	200720912	123	03/02/09	48.7	04/17/09	113	06/11/09	208.1	07/06/09	253.6	07/06/09	4	SLRE
200902108	1	200901	123	200720912	123	03/02/09	46.4	04/17/09	122.2	06/11/09	207.3	07/06/09	241.6	07/06/09	4	SLRE
200902401	2	200901	123	200718805	123	03/02/09	41.3	04/17/09	113.8	06/11/09	211.4	07/06/09	234.4	07/06/09	4	SLRE
200902402	2	200901	123	200718805	123	03/02/09	41.1	04/17/09	106.1	06/11/09	204.2	07/06/09	233.6	07/06/09	4	SLRE
200902406	1	200901	123	200718805	123	03/02/09	38.7	04/23/09	111.4	06/17/09	207.4	07/06/09	232.4	07/06/09	4	SLRE
200902408	1	200901	123	200718805	123	03/02/09	48.8	03/02/09	48.8			03/02/09	48.8	03/30/09	3	PNEU
200902502	2	200901	123	200718805	123	03/02/09	37.2	04/23/09	124.6	06/17/09	206.4	07/07/09	232.2	07/08/09	6	SLRE
200902503	1	200901	123	200718805	123	03/02/09	43.6	04/17/09	107	06/11/09	194.4	07/06/09	235.2	07/06/09	4	SLRE
200902602	2	200901	123	200718805	123	03/02/09	49.7	04/17/09	118.2	06/23/09	249	06/23/09	249	06/24/09	6	SLRE
200902603	2	200901	123	200718805	123	03/02/09	41.7	04/17/09	91.3	06/11/09	185.5	07/10/09	235.8	07/13/09	6	SLRE
200902607	1	200901	123	200718805	123	03/02/09	56	04/17/09	134.2	06/23/09	270	06/23/09	270	06/24/09	6	SLRE
