Animal	Sex	Farrowing Group	Line	Sire	Sire Line	Week 8 Weigh Date	Week 8 Weight	Weight Date	Weight	Week 22 Weigh Date	Week 22 Weight	Weight Date_2	Weight_2	Disposal Date	Disposal Code	Disposal Reason
201131603	2	201118	124	101660001	112	06/23/11	23.1	06/23/11	23.1	09/28/11	172.8	09/28/11	172.8	11/17/11	4	SRSL
201131605	2	201118	124	101660001	112	06/23/11	26.9	06/23/11	26.9	09/28/11	189.7	09/28/11	189.7	04/03/12	4	SRSL
201131606	2	201118	124	101660001	112	06/23/11	22.5	06/23/11	22.5	09/28/11	166.4	09/28/11	166.4	11/17/11	4	SRSL
201131609	1	201118	124	101660001	112	06/23/11	31.9	06/23/11	31.9	09/28/11	213.1	09/28/11	213.1	10/25/11	4	SRSL
201131611	1	201118	124	101660001	112	06/23/11	31.4	06/23/11	31.4	09/28/11	219.2	09/28/11	219.2	10/25/11	4	SRSL
201131701	2	201118	124	102485005	112	06/23/11	26.2	06/23/11	26.2	09/28/11	195.4	09/28/11	195.4	10/26/11	4	SRSL
201131704	1	201118	124	102485005	112	06/23/11	31.1	06/23/11	31.1	09/28/11	208.3	09/28/11	208.3	11/04/11	4	SRSL
201131707	1	201118	124	102485005	112	06/23/11	20.4	06/23/11	20.4	09/28/11	195.7	09/28/11	195.7	11/04/11	4	SRSL
201131709	1	201118	124	102485005	112	06/23/11	21	06/23/11	21	09/28/11	181.2	09/28/11	181.2	11/04/11	4	SRSL
201131901	2	201118	124	99667001	112	06/23/11	30.6	06/23/11	30.6	09/28/11	202.1	09/28/11	202.1	10/26/11	4	SRSL
201131902	2	201118	124	99667001	112	06/23/11	31.5	06/23/11	31.5	09/28/11	200.3	09/28/11	200.3	05/22/12	4	SRSL
201131903	2	201118	124	99667001	112	06/23/11	25.7	06/23/11	25.7	09/28/11	184.6	09/28/11	184.6	01/17/12	4	SRSL
201131906	2	201118	124	99667001	112	06/23/11	25.6	06/23/11	25.6	09/28/11	199.7	09/28/11	199.7	01/31/12	4	SRSL
201131907	2	201118	124	99667001	112	06/23/11	26.4	06/23/11	26.4	09/28/11	197.8	09/28/11	197.8	01/17/12	4	SRSL
201131910	1	201118	124	99667001	112	06/23/11	28.5	06/23/11	28.5	09/28/11	200.6	09/28/11	200.6	11/04/11	4	SRSL
201132001	2	201118	124	91638002	112	06/23/11	26	06/23/11	26	09/28/11	173.4	09/28/11	173.4	01/17/12	4	SRSL
201132002	1	201118	124	91638002	112	06/23/11	41.4	06/23/11	41.4	09/28/11	222.4	09/28/11	222.4	10/25/11	4	SRSL
201132003	1	201118	124	91638002	112	06/23/11	31.9	06/23/11	31.9	09/28/11	222.4	09/28/11	222.4	10/25/11	4	SRSL
201132004	1	201118	124	91638002	112	06/23/11	28.4	06/23/11	28.4	09/28/11	218.4	09/28/11	218.4	10/25/11	4	SRSL
201132005	1	201118	124	91638002	112	06/23/11	29	06/23/11	29	09/28/11	213.9	09/28/11	213.9	10/25/11	4	SRSL
201132006	1	201118	124	91638002	112	06/23/11	26.7	06/23/11	26.7	09/28/11	201.9	09/28/11	201.9	11/04/11	4	SRSL
201132007	1	201118	124	91638002	112	06/23/11	29.2	06/23/11	29.2	09/28/11	211.7	09/28/11	211.7	10/25/11	4	SRSL
201132008	1	201118	124	91638002	112	06/23/11	22	06/23/11	22	09/28/11	174.7	09/28/11	174.7	11/04/11	4	SRSL
201132101	2	201118	124	102485005	112	06/23/11	27.2	06/23/11	27.2	09/28/11	184.8	09/28/11	184.8	04/13/12	4	SRSL
