Animal	Sex	Farrowing Group	Line	Sire	Sire Line	Week 8 Weigh Date	Week 8 Weight	Weight Date	Weight	Weight Date_2	Weight_2	Week 22 Weigh Date	Week 22 Weight	Disposal Date	Disposal Code	Disposal Reason
201575602	2	201543	124	557932008	103	12/10/15	38	12/23/15	49.1	03/16/16	164.2	03/16/16	164.2	07/14/16	4	SEBD
201575603	2	201543	124	557932008	103	12/10/15	30.3	12/23/15	43.6	03/16/16	197.8	03/16/16	197.8	05/04/16	4	SRSL
201575604	2	201543	124	557932008	103	12/10/15	37.5	12/23/15	47.3	03/16/16	192.4	03/16/16	192.4	07/14/16	4	SEBD
201575606	1	201543	124	557932008	103	12/10/15	31.8	12/23/15	46.5	03/16/16	213.7	03/16/16	213.7	05/04/16	4	SRSL
201575607	2	201543	124	557932008	103	12/10/15	35.7	12/23/15	49.3	03/16/16	202.7	03/16/16	202.7	07/21/16	4	OPEN
201575608	1	201543	124	557932008	103	12/10/15	36.5	12/23/15	50.6	03/16/16	205.3	03/16/16	205.3	04/21/16	4	SRSL
201575609	1	201543	124	557932008	103	12/10/15	35.9	12/23/15	44.5	03/16/16	195.3	03/16/16	195.3	04/21/16	4	SRSL
201575701	2	201543	252	356719005	102	12/10/15	39.3	12/23/15	55.2	03/16/16	194.9	03/16/16	194.9	04/14/16	4	SRSL
201575702	2	201543	252	356719005	102	12/10/15	42.5	12/23/15	58.9	03/16/16	227.3	03/16/16	227.3	04/14/16	4	SRSL
201575703	2	201543	252	356719005	102	12/10/15	36.5	12/23/15	49.7	03/16/16	211.3	03/16/16	211.3	04/21/16	4	SRSL
201575704	2	201543	252	356719005	102	12/10/15	34.4	12/23/15	46.9	03/16/16	209.2	03/16/16	209.2	04/14/16	4	SRSL
201575705	1	201543	252	356719005	102	12/10/15	35.4	12/23/15	46.9	03/16/16	195.9	03/16/16	195.9	05/04/16	4	SRSL
201575706	1	201543	252	356719005	102	12/10/15	43.4	12/23/15	60.5	03/16/16	242.6	03/16/16	242.6	03/30/16	4	SRSL
201575707	1	201543	252	356719005	102	12/10/15	39.5	12/23/15	56.4	03/16/16	244.7	03/16/16	244.7	03/30/16	4	SRSL
201575708	1	201543	252	356719005	102	12/10/15	39.5	12/23/15	56.6	03/16/16	216.8	03/16/16	216.8	04/14/16	4	SRSL
201575709	1	201543	252	356719005	102	12/10/15	36.6	12/23/15	47	03/16/16	217.3	03/16/16	217.3	04/14/16	4	SRSL
201575710	1	201543	252	356719005	102	12/10/15	36.1	12/23/15	50.9	03/16/16	195.5	03/16/16	195.5	04/21/16	4	SRSL
201575801	2	201543	124	557932008	103	12/10/15	22.4	12/23/15	32.3	03/16/16	126.5	03/16/16	126.5	04/13/16	4	SRSL
201575802	2	201543	124	557932008	103	12/10/15	28.3	12/23/15	39.8	03/16/16	155.4	03/16/16	155.4	04/20/16	4	SRSL
201575804	1	201543	124	557932008	103	12/10/15	32.4	12/23/15	40.2	03/16/16	167.4	03/16/16	167.4	04/21/16	4	SRSL
201575806	1	201543	124	557932008	103	12/10/15	30	12/23/15	41.6	03/16/16	198.2	03/16/16	198.2	05/04/16	4	SRSL
201575810	1	201543	124	557932008	103	12/10/15	24	12/23/15	30.6	03/16/16	148.8	03/16/16	148.8	04/13/16	4	SRSL
201575903	2	201543	124	557932008	103	12/10/15	23.5	12/23/15	34.1	03/16/16	186.1	03/16/16	186.1	06/30/17	4	PPCO
201575904	2	201543	124	557932008	103	12/10/15	22.7	12/23/15	33.1	03/16/16	147.5	03/16/16	147.5	05/11/16	4	SRSL
201575905	2	201543	124	557932008	103	12/10/15	21.5	12/23/15	29.1	03/16/16	154.8	03/16/16	154.8	05/11/16	4	SRSL
201575906	1	201543	124	557932008	103	12/10/15	20.9	12/23/15	30	03/16/16	141.6	03/16/16	141.6	04/13/16	4	SRSL
201575908	1	201543	124	557932008	103	12/10/15	27.1	12/23/15	36	03/16/16	169.1	03/16/16	169.1	05/04/16	4	SRSL
201575913	1	201543	124	557932008	103	12/10/15	23.2	12/23/15	31.8	03/16/16	170.7	03/16/16	170.7	05/11/16	4	SRSL
201576001	2	201543	124	557932008	103	12/10/15	25.9	12/23/15	37.6	03/16/16	186.6	03/16/16	186.6	10/13/16	4	PPCO
201576002	2	201543	124	557932008	103	12/10/15	28.2	12/23/15	39.4	03/16/16	175	03/16/16	175	06/30/16	4	SEBD
201576003	2	201543	124	557932008	103	12/10/15	28.6	12/23/15	36.2	12/23/15	36.2			01/07/16	3	PNEU
201576004	2	201543	124	557932008	103	12/10/15	25.5	12/23/15	34	03/16/16	183.2	03/16/16	183.2			
201576005	1	201543	124	557932008	103	12/10/15	22.8	12/23/15	31.1	03/16/16	172	03/16/16	172	05/04/16	4	SRSL
201576006	1	201543	124	557932008	103	12/10/15	36.5	12/23/15	45.5	03/16/16	204.5	03/16/16	204.5	04/21/16	4	SRSL
201576007	1	201543	124	557932008	103	12/10/15	27.9	12/23/15	40.6	03/16/16	211.1	03/16/16	211.1	04/14/16	4	SRSL
201576009	1	201543	124	557932008	103	12/10/15	25.9	12/23/15	33.6	03/16/16	164.4	03/16/16	164.4	05/11/16	4	SRSL
201576201	2	201543	252	356719005	102	12/10/15	28.4	12/23/15	40.6	03/16/16	194.3	03/16/16	194.3	05/04/16	4	SRSL
